symbol,company,insider,insider_position,trade_type,trade_shares,trade_price,trade_value,trade_date,now
SRE,Sempra Energy,Walker Cynthia Lynn,,Buy,2000.0,125.46,250920.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586568
TENX,"Tenax Therapeutics, Inc.",Boyd Steven,,Buy,12000.0,0.75,9000.0,2020-08-26 00:00:00,2020-08-28 00:33:40.586643
TENX,"Tenax Therapeutics, Inc.",Boyd Steven,,Buy,5692.0,0.73,4183.0,2020-08-24 00:00:00,2020-08-28 00:33:40.586702
TENX,"Tenax Therapeutics, Inc.",Boyd Steven,,Buy,17211.0,0.77,13166.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586752
TIPT,Tiptree Inc.,Barnes Michael Gene  ,Executive Chairman,Buy,5855.0,5.57,32624.0,2020-08-24 00:00:00,2020-08-28 00:33:40.586809
TIPT,Tiptree Inc.,Barnes Michael Gene  ,Executive Chairman,Buy,5855.0,5.68,33285.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586860
TPL,Texas Pacific Land Trust,Horizon Kinetics Asset Management Llc  ,10% Owner,Buy,44.0,545.14,23986.0,2020-08-25 00:00:00,2020-08-28 00:33:40.586918
TPVG,Triplepoint Venture Growth Bdc Corp.,Mathieu Christopher M.  ,Chief Financial Officer,Buy,5500.0,12.39,68145.0,2020-08-24 00:00:00,2020-08-28 00:33:40.586972
TURN,180 Degree Capital Corp. /ny/,Rendino Kevin  ,Chairman and CEO,Buy,22300.0,1.92,42816.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587025
VERU,Veru Inc.,Greco Michele  ,CAO and CFO,Buy,5000.0,2.65,13234.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587084
VRCA,Verrica Pharmaceuticals Inc.,Ballaron Craig  ,Director,Buy,5228.0,9.16,47888.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587143
VRCA,Verrica Pharmaceuticals Inc.,Ballaron Craig  ,Director,Buy,4772.0,8.57,40896.0,2020-08-25 00:00:00,2020-08-28 00:33:40.587192
XAIR,"Beyond Air, Inc.",Carey Robert,,Buy,10000.0,5.7,57000.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587250
XPER,Xperi Holding Corp,Habiger David C  ,Director,Buy,7530.0,13.31,100239.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587360
ZMTP,"Zoom Telephonics, Inc.",Palmer Bradley C,,Buy,14163.0,1.9,26909.0,2020-08-25 00:00:00,2020-08-28 00:33:40.587449
ZMTP,"Zoom Telephonics, Inc.",Palmer Bradley C,,Buy,837.0,1.95,1632.0,2020-08-24 00:00:00,2020-08-28 00:33:40.587501
AAT,"American Assets Trust, Inc.",Rady Ernest S  ,"Chairman, CEO & President",Buy,905.0,25.13,22742.0,2020-08-24 00:00:00,2020-08-28 00:33:40.870418
AAT,"American Assets Trust, Inc.",Rady Ernest S  ,"Chairman, CEO & President",Buy,9095.0,25.65,233286.0,2020-08-25 00:00:00,2020-08-28 00:33:40.870509
AAT,"American Assets Trust, Inc.",Rady Ernest S  ,"Chairman, CEO & President",Buy,10000.0,25.06,250600.0,2020-08-21 00:00:00,2020-08-28 00:33:40.870561
ADM,Archer-daniels-midland Co,Dufour Pierre  ,Director,Buy,11100.0,44.75,496725.0,2020-08-25 00:00:00,2020-08-28 00:33:40.870619
